customer_id,income_tier,car_model,battery_capacity_kwh
C0115,Mid-Range,Hyundai Kona Electric,64.0
C0116,Low-Mid,Citroën ë-C4,50.0
C0117,Low-Mid,Peugeot e-208,50.0
C0118,Low-Mid,Citroën ë-C4,50.0
C0119,High,Porsche Taycan,93.4
C0120,Mid-Range,BYD Atto 3,60.5
C0121,Low-Mid,Opel Corsa-e,50.0
C0122,High,Audi e-tron,95.0
C0123,High,Audi e-tron,95.0
C0124,Low-Mid,Citroën ë-C4,50.0
C0125,Mid-Range,Hyundai Kona Electric,64.0
C0126,Mid-Range,Skoda Enyaq iV,77.0
C0127,Mid-Range,MG ZS EV,69.9
C0128,Low-Mid,Peugeot e-208,50.0
C0129,Low-Mid,Renault Zoe,52.0
C0130,Low-Mid,Renault Zoe,52.0
C0131,Mid-Range,BYD Atto 3,60.5
C0132,Low-Mid,Peugeot e-208,50.0
C0133,High,Audi e-tron,95.0
C0134,Mid-Range,Volkswagen ID.4,77.0
C0135,Low-Mid,Renault Zoe,52.0
C0136,Low-Mid,Opel Corsa-e,50.0
C0137,Mid-Range,Skoda Enyaq iV,77.0
C0138,Low-Mid,Dacia Spring,26.8
C0139,Low-Mid,Dacia Spring,26.8
C0140,Mid-Range,Nissan Leaf,62.0
C0141,High,Porsche Taycan,93.4
C0142,Low-Mid,Opel Corsa-e,50.0
C0143,High,BMW i4,83.9
C0144,Low-Mid,Peugeot e-208,50.0
C0145,Low-Mid,Dacia Spring,26.8
C0146,Low-Mid,Peugeot e-208,50.0
C0147,Low-Mid,Renault Zoe,52.0
C0148,Low-Mid,Peugeot e-208,50.0
C0149,Low-Mid,Dacia Spring,26.8
C0150,Low-Mid,Renault Zoe,52.0
C0151,Low-Mid,Peugeot e-208,50.0
C0152,Low-Mid,Citroën ë-C4,50.0
C0153,Low-Mid,Fiat 500e,42.0
C0154,Mid-Range,Hyundai Ioniq 5,77.4
C0155,Mid-Range,Nissan Leaf,62.0
C0156,Mid-Range,Hyundai Ioniq 5,77.4
C0157,High,Tesla Model 3,75.0
C0158,Low-Mid,Dacia Spring,26.8
C0159,Low-Mid,Fiat 500e,42.0
C0160,Low-Mid,Opel Corsa-e,50.0
C0161,Low-Mid,Fiat 500e,42.0
C0162,High,BMW i4,83.9
C0163,Mid-Range,Skoda Enyaq iV,77.0
C0164,Low-Mid,Fiat 500e,42.0
C0165,Mid-Range,BYD Atto 3,60.5
C0166,Low-Mid,Opel Corsa-e,50.0
C0167,Low-Mid,Citroën ë-C4,50.0
C0168,Low-Mid,Citroën ë-C4,50.0
C0169,Mid-Range,Nissan Leaf,62.0
C0170,Mid-Range,Volkswagen ID.4,77.0
C0171,Low-Mid,Peugeot e-208,50.0
C0172,Mid-Range,Volkswagen ID.4,77.0
C0173,Low-Mid,Renault Zoe,52.0
C0174,Mid-Range,BYD Atto 3,60.5
C0175,Low-Mid,Opel Corsa-e,50.0
C0176,Mid-Range,MG ZS EV,69.9
C0177,Low-Mid,Renault Zoe,52.0
C0178,High,Porsche Taycan,93.4
C0179,Low-Mid,Dacia Spring,26.8
C0180,Mid-Range,Hyundai Ioniq 5,77.4
C0181,Low-Mid,Opel Corsa-e,50.0
C0182,Mid-Range,Skoda Enyaq iV,77.0
C0183,Mid-Range,Skoda Enyaq iV,77.0
C0184,High,Porsche Taycan,93.4
C0185,Low-Mid,Fiat 500e,42.0
C0186,Low-Mid,Renault Zoe,52.0
C0187,Low-Mid,Opel Corsa-e,50.0
C0188,High,Tesla Model Y,75.0
C0189,Mid-Range,Hyundai Ioniq 5,77.4
C0190,Low-Mid,Dacia Spring,26.8
C0191,Low-Mid,Fiat 500e,42.0
C0192,Low-Mid,Peugeot e-208,50.0
C0193,Low-Mid,Dacia Spring,26.8
C0194,Mid-Range,Skoda Enyaq iV,77.0
C0195,Low-Mid,Fiat 500e,42.0
C0196,Low-Mid,Opel Corsa-e,50.0
C0197,Mid-Range,Nissan Leaf,62.0
C0198,Low-Mid,Citroën ë-C4,50.0
C0199,Low-Mid,Fiat 500e,42.0
C0200,Low-Mid,Fiat 500e,42.0
C0201,High,BMW i4,83.9
C0202,Low-Mid,Citroën ë-C4,50.0
C0203,Low-Mid,Renault Zoe,52.0
C0204,Low-Mid,Peugeot e-208,50.0
C0205,Low-Mid,Opel Corsa-e,50.0
C0206,High,Audi e-tron,95.0
C0207,Low-Mid,Citroën ë-C4,50.0
C0208,Low-Mid,Peugeot e-208,50.0
C0209,Mid-Range,Volkswagen ID.4,77.0
C0210,Mid-Range,Hyundai Kona Electric,64.0
C0211,Mid-Range,MG ZS EV,69.9
C0212,Mid-Range,BYD Atto 3,60.5
C0213,High,Tesla Model 3,75.0
C0214,Mid-Range,BYD Atto 3,60.5
C0215,Mid-Range,Nissan Leaf,62.0
C0216,Mid-Range,Kia EV6,77.4
C0217,Mid-Range,Hyundai Ioniq 5,77.4
C0218,Low-Mid,Dacia Spring,26.8
C0219,Low-Mid,Peugeot e-208,50.0
C0220,Mid-Range,BYD Atto 3,60.5
C0221,High,Porsche Taycan,93.4
C0222,Mid-Range,Kia EV6,77.4
C0223,Low-Mid,Fiat 500e,42.0
C0224,Low-Mid,Renault Zoe,52.0
C0225,Low-Mid,Citroën ë-C4,50.0
C0226,Low-Mid,Peugeot e-208,50.0
C0227,Mid-Range,Skoda Enyaq iV,77.0
C0228,Low-Mid,Fiat 500e,42.0
C0229,Mid-Range,MG ZS EV,69.9
C0230,Low-Mid,Dacia Spring,26.8
C0231,Low-Mid,Fiat 500e,42.0
C0232,Low-Mid,Fiat 500e,42.0
C0233,Low-Mid,Peugeot e-208,50.0
C0234,Mid-Range,Hyundai Ioniq 5,77.4
C0235,Low-Mid,Peugeot e-208,50.0
C0236,Low-Mid,Dacia Spring,26.8
C0237,Low-Mid,Citroën ë-C4,50.0
C0238,High,Ford Mustang Mach-E,91.0
C0239,Mid-Range,MG ZS EV,69.9
C0240,Low-Mid,Renault Zoe,52.0
C0241,Low-Mid,Dacia Spring,26.8
C0242,Mid-Range,Kia EV6,77.4
C0243,Mid-Range,Skoda Enyaq iV,77.0
C0244,High,BMW i4,83.9
C0245,Mid-Range,Skoda Enyaq iV,77.0
C0246,Low-Mid,Peugeot e-208,50.0
C0247,Low-Mid,Renault Zoe,52.0
C0248,Mid-Range,Hyundai Kona Electric,64.0
C0249,Mid-Range,BYD Atto 3,60.5
C0250,High,Porsche Taycan,93.4
C0251,Low-Mid,Renault Zoe,52.0
C0252,Low-Mid,Dacia Spring,26.8
C0253,Mid-Range,Hyundai Ioniq 5,77.4
C0254,Mid-Range,Volkswagen ID.4,77.0
C0255,High,Tesla Model 3,75.0
C0256,Mid-Range,Skoda Enyaq iV,77.0
C0257,High,Ford Mustang Mach-E,91.0
C0258,Low-Mid,Citroën ë-C4,50.0
C0259,Mid-Range,Kia EV6,77.4
C0260,Mid-Range,Hyundai Ioniq 5,77.4
C0261,Low-Mid,Peugeot e-208,50.0
C0262,High,Ford Mustang Mach-E,91.0
C0263,High,Tesla Model Y,75.0
C0264,Low-Mid,Peugeot e-208,50.0
C0265,Low-Mid,Renault Zoe,52.0
C0266,Mid-Range,BYD Atto 3,60.5
C0267,Low-Mid,Peugeot e-208,50.0
C0268,High,Tesla Model 3,75.0
C0269,Mid-Range,Volkswagen ID.4,77.0
C0270,Low-Mid,Dacia Spring,26.8
C0271,Low-Mid,Peugeot e-208,50.0
C0272,Mid-Range,Volkswagen ID.4,77.0
C0273,Mid-Range,Kia EV6,77.4
C0274,Low-Mid,Peugeot e-208,50.0
C0275,Low-Mid,Dacia Spring,26.8
C0276,Low-Mid,Dacia Spring,26.8
C0277,Low-Mid,Fiat 500e,42.0
C0278,Low-Mid,Fiat 500e,42.0
C0279,Mid-Range,MG ZS EV,69.9
C0280,Low-Mid,Renault Zoe,52.0
C0281,Mid-Range,BYD Atto 3,60.5
C0282,Mid-Range,Skoda Enyaq iV,77.0
C0283,Low-Mid,Renault Zoe,52.0
C0284,Low-Mid,Dacia Spring,26.8
C0285,Mid-Range,BYD Atto 3,60.5
C0286,High,BMW i4,83.9
C0287,Mid-Range,Volkswagen ID.4,77.0
C0288,Mid-Range,Kia EV6,77.4
C0289,Mid-Range,Hyundai Ioniq 5,77.4
C0290,Mid-Range,Hyundai Ioniq 5,77.4
C0291,Low-Mid,Fiat 500e,42.0
C0292,Low-Mid,Fiat 500e,42.0
C0293,Low-Mid,Opel Corsa-e,50.0
C0294,Low-Mid,Citroën ë-C4,50.0
C0295,Mid-Range,Hyundai Kona Electric,64.0
C0296,Mid-Range,MG ZS EV,69.9
C0297,Low-Mid,Citroën ë-C4,50.0
C0298,Low-Mid,Peugeot e-208,50.0
C0299,Mid-Range,BYD Atto 3,60.5
C0300,High,Audi e-tron,95.0
C0301,Mid-Range,Volkswagen ID.4,77.0
C0302,High,Tesla Model 3,75.0
C0303,High,Tesla Model Y,75.0
C0304,Mid-Range,MG ZS EV,69.9
C0305,Mid-Range,MG ZS EV,69.9
C0306,Low-Mid,Peugeot e-208,50.0
C0307,Mid-Range,MG ZS EV,69.9
C0308,Low-Mid,Opel Corsa-e,50.0
C0309,Low-Mid,Dacia Spring,26.8
C0310,Low-Mid,Dacia Spring,26.8
C0311,High,BMW i4,83.9
C0312,Mid-Range,Hyundai Kona Electric,64.0
C0313,Low-Mid,Fiat 500e,42.0
C0314,Low-Mid,Citroën ë-C4,50.0
C0315,Low-Mid,Dacia Spring,26.8
C0316,Mid-Range,Hyundai Kona Electric,64.0
C0317,Low-Mid,Peugeot e-208,50.0
C0318,High,Audi e-tron,95.0
C0319,Low-Mid,Renault Zoe,52.0
C0320,Low-Mid,Dacia Spring,26.8
C0321,High,Tesla Model 3,75.0
C0322,Mid-Range,Skoda Enyaq iV,77.0
C0323,Mid-Range,BYD Atto 3,60.5
C0324,Mid-Range,Nissan Leaf,62.0
C0325,Mid-Range,Nissan Leaf,62.0
C0326,Low-Mid,Renault Zoe,52.0
C0327,Mid-Range,MG ZS EV,69.9
C0328,Low-Mid,Opel Corsa-e,50.0
C0329,Low-Mid,Dacia Spring,26.8
C0330,Mid-Range,Kia EV6,77.4
C0331,Low-Mid,Citroën ë-C4,50.0
C0332,Mid-Range,BYD Atto 3,60.5
C0333,Low-Mid,Renault Zoe,52.0
C0334,Low-Mid,Peugeot e-208,50.0
C0335,Low-Mid,Renault Zoe,52.0
C0336,Mid-Range,Hyundai Ioniq 5,77.4
C0337,Low-Mid,Fiat 500e,42.0
C0338,Low-Mid,Citroën ë-C4,50.0
C0339,Low-Mid,Citroën ë-C4,50.0
C0340,Mid-Range,MG ZS EV,69.9
C0341,Mid-Range,Hyundai Kona Electric,64.0
C0342,Mid-Range,Skoda Enyaq iV,77.0
C0343,Low-Mid,Peugeot e-208,50.0
C0344,Low-Mid,Dacia Spring,26.8
C0345,High,Tesla Model Y,75.0
C0346,Low-Mid,Dacia Spring,26.8
C0347,Mid-Range,Skoda Enyaq iV,77.0
C0348,Low-Mid,Renault Zoe,52.0
C0349,Low-Mid,Dacia Spring,26.8
C0350,Mid-Range,Kia EV6,77.4
C0351,High,BMW i4,83.9
C0352,Low-Mid,Peugeot e-208,50.0
C0353,Low-Mid,Dacia Spring,26.8
C0354,Low-Mid,Fiat 500e,42.0
C0355,Mid-Range,Hyundai Ioniq 5,77.4
C0356,Low-Mid,Peugeot e-208,50.0
C0357,Low-Mid,Citroën ë-C4,50.0
C0358,Low-Mid,Fiat 500e,42.0
C0359,Low-Mid,Opel Corsa-e,50.0
C0360,Low-Mid,Dacia Spring,26.8
C0361,High,BMW i4,83.9
C0362,Mid-Range,BYD Atto 3,60.5
C0363,Low-Mid,Dacia Spring,26.8
C0364,Mid-Range,Volkswagen ID.4,77.0
C0365,High,Audi e-tron,95.0
C0366,Low-Mid,Renault Zoe,52.0
C0367,Low-Mid,Citroën ë-C4,50.0
C0368,Low-Mid,Citroën ë-C4,50.0
C0369,Low-Mid,Fiat 500e,42.0
C0370,High,Porsche Taycan,93.4
C0371,Mid-Range,Volkswagen ID.4,77.0
C0372,Low-Mid,Dacia Spring,26.8
C0373,Mid-Range,Hyundai Ioniq 5,77.4
C0374,Mid-Range,Hyundai Ioniq 5,77.4
C0375,High,Ford Mustang Mach-E,91.0
C0376,High,Audi e-tron,95.0
C0377,Low-Mid,Peugeot e-208,50.0
C0378,Low-Mid,Opel Corsa-e,50.0
C0379,Low-Mid,Citroën ë-C4,50.0
C0380,High,Ford Mustang Mach-E,91.0
C0381,High,Tesla Model 3,75.0
C0382,Low-Mid,Peugeot e-208,50.0
C0383,Mid-Range,Hyundai Kona Electric,64.0
C0384,Low-Mid,Fiat 500e,42.0
C0385,Low-Mid,Renault Zoe,52.0
C0386,Low-Mid,Citroën ë-C4,50.0
C0387,Low-Mid,Renault Zoe,52.0
C0388,Low-Mid,Fiat 500e,42.0
C0389,High,Porsche Taycan,93.4
C0390,Mid-Range,Kia EV6,77.4
C0391,High,Tesla Model Y,75.0
C0392,Low-Mid,Peugeot e-208,50.0
C0393,Mid-Range,Volkswagen ID.4,77.0
C0394,Low-Mid,Renault Zoe,52.0
C0395,Mid-Range,MG ZS EV,69.9
C0396,Mid-Range,Hyundai Kona Electric,64.0
C0397,Mid-Range,MG ZS EV,69.9
C0398,Low-Mid,Fiat 500e,42.0
C0399,Low-Mid,Citroën ë-C4,50.0
C0400,Low-Mid,Dacia Spring,26.8
C0401,Low-Mid,Citroën ë-C4,50.0
C0402,Low-Mid,Opel Corsa-e,50.0
C0403,Mid-Range,Skoda Enyaq iV,77.0
C0404,High,Tesla Model 3,75.0
C0405,Low-Mid,Fiat 500e,42.0
C0406,Low-Mid,Dacia Spring,26.8
C0407,Low-Mid,Citroën ë-C4,50.0
C0408,High,Audi e-tron,95.0
C0409,Low-Mid,Peugeot e-208,50.0
C0410,Low-Mid,Renault Zoe,52.0
C0411,Mid-Range,Hyundai Kona Electric,64.0
C0412,Low-Mid,Opel Corsa-e,50.0
C0413,Mid-Range,Hyundai Ioniq 5,77.4
C0414,Mid-Range,BYD Atto 3,60.5
C0415,Low-Mid,Dacia Spring,26.8
C0416,Low-Mid,Fiat 500e,42.0
C0417,Mid-Range,Hyundai Ioniq 5,77.4
C0418,Mid-Range,MG ZS EV,69.9
C0419,Low-Mid,Citroën ë-C4,50.0
C0420,Low-Mid,Peugeot e-208,50.0
C0421,High,BMW i4,83.9
C0422,Low-Mid,Citroën ë-C4,50.0
C0423,Low-Mid,Dacia Spring,26.8
C0424,Low-Mid,Peugeot e-208,50.0
C0425,Low-Mid,Renault Zoe,52.0
C0426,Mid-Range,MG ZS EV,69.9
C0427,Mid-Range,Nissan Leaf,62.0
C0428,High,Audi e-tron,95.0
C0429,High,Ford Mustang Mach-E,91.0
C0430,Mid-Range,Volkswagen ID.4,77.0
C0431,High,Audi e-tron,95.0
C0432,Mid-Range,Kia EV6,77.4
C0433,Low-Mid,Opel Corsa-e,50.0
C0434,High,Porsche Taycan,93.4
C0435,Mid-Range,Kia EV6,77.4
C0436,Mid-Range,Volkswagen ID.4,77.0
C0437,Mid-Range,Nissan Leaf,62.0
C0438,Low-Mid,Fiat 500e,42.0
C0439,Low-Mid,Opel Corsa-e,50.0
C0440,Mid-Range,Volkswagen ID.4,77.0
C0441,Low-Mid,Dacia Spring,26.8
C0442,Mid-Range,Skoda Enyaq iV,77.0
C0443,High,Tesla Model Y,75.0
C0444,Low-Mid,Peugeot e-208,50.0
C0445,Mid-Range,Nissan Leaf,62.0
C0446,Mid-Range,Kia EV6,77.4
C0447,Low-Mid,Opel Corsa-e,50.0
C0448,High,Audi e-tron,95.0
C0449,Low-Mid,Citroën ë-C4,50.0
C0450,Low-Mid,Opel Corsa-e,50.0
C0451,Low-Mid,Peugeot e-208,50.0
C0452,Mid-Range,Nissan Leaf,62.0
C0453,High,Tesla Model 3,75.0
C0454,Low-Mid,Citroën ë-C4,50.0
C0455,High,Porsche Taycan,93.4
C0456,Low-Mid,Peugeot e-208,50.0
C0457,Low-Mid,Renault Zoe,52.0
C0458,Low-Mid,Dacia Spring,26.8
C0459,Low-Mid,Dacia Spring,26.8
C0460,Mid-Range,Skoda Enyaq iV,77.0
C0461,Mid-Range,Skoda Enyaq iV,77.0
C0462,Mid-Range,Hyundai Ioniq 5,77.4
C0463,Mid-Range,MG ZS EV,69.9
C0464,Low-Mid,Peugeot e-208,50.0
C0465,Low-Mid,Opel Corsa-e,50.0
C0466,Low-Mid,Dacia Spring,26.8
C0467,Low-Mid,Renault Zoe,52.0
C0468,Low-Mid,Dacia Spring,26.8
C0469,Low-Mid,Opel Corsa-e,50.0
C0470,High,BMW i4,83.9
C0471,High,BMW i4,83.9
C0472,Low-Mid,Fiat 500e,42.0
C0473,Low-Mid,Peugeot e-208,50.0
C0474,Low-Mid,Opel Corsa-e,50.0
C0475,Mid-Range,Volkswagen ID.4,77.0
C0476,Low-Mid,Opel Corsa-e,50.0
C0477,Mid-Range,Volkswagen ID.4,77.0
C0478,Low-Mid,Dacia Spring,26.8
C0479,Low-Mid,Fiat 500e,42.0
C0480,Low-Mid,Peugeot e-208,50.0
C0481,Low-Mid,Dacia Spring,26.8
C0482,Low-Mid,Peugeot e-208,50.0
C0483,Low-Mid,Renault Zoe,52.0
C0484,Low-Mid,Renault Zoe,52.0
C0485,Mid-Range,Nissan Leaf,62.0
C0486,Low-Mid,Peugeot e-208,50.0
C0487,High,Ford Mustang Mach-E,91.0
C0488,Low-Mid,Peugeot e-208,50.0
C0489,Low-Mid,Fiat 500e,42.0
C0490,Low-Mid,Peugeot e-208,50.0
C0491,High,Tesla Model Y,75.0
C0492,High,BMW i4,83.9
C0493,Low-Mid,Renault Zoe,52.0
C0494,High,Tesla Model Y,75.0
C0495,Mid-Range,MG ZS EV,69.9
C0496,Mid-Range,Hyundai Ioniq 5,77.4
C0497,Low-Mid,Dacia Spring,26.8
C0498,Low-Mid,Opel Corsa-e,50.0
C0499,Low-Mid,Opel Corsa-e,50.0
C0500,Low-Mid,Fiat 500e,42.0
C0501,Low-Mid,Renault Zoe,52.0
C0502,Low-Mid,Fiat 500e,42.0
C0503,Mid-Range,Skoda Enyaq iV,77.0
C0504,Low-Mid,Renault Zoe,52.0
C0505,Low-Mid,Citroën ë-C4,50.0
C0506,High,Tesla Model Y,75.0
C0507,Mid-Range,Volkswagen ID.4,77.0
C0508,Low-Mid,Citroën ë-C4,50.0
C0509,Low-Mid,Opel Corsa-e,50.0
C0510,Mid-Range,Hyundai Kona Electric,64.0
C0511,Low-Mid,Renault Zoe,52.0
C0512,Low-Mid,Peugeot e-208,50.0
C0513,Low-Mid,Citroën ë-C4,50.0
C0514,High,Ford Mustang Mach-E,91.0
C0515,Mid-Range,Hyundai Kona Electric,64.0
C0516,Low-Mid,Citroën ë-C4,50.0
C0517,Low-Mid,Opel Corsa-e,50.0
C0518,High,Tesla Model Y,75.0
C0519,Mid-Range,Hyundai Ioniq 5,77.4
C0520,Low-Mid,Renault Zoe,52.0
C0521,Low-Mid,Fiat 500e,42.0
C0522,Low-Mid,Renault Zoe,52.0
C0523,Low-Mid,Opel Corsa-e,50.0
C0524,Low-Mid,Peugeot e-208,50.0
C0525,Low-Mid,Dacia Spring,26.8
C0526,Low-Mid,Citroën ë-C4,50.0
C0527,Mid-Range,Nissan Leaf,62.0
C0528,Mid-Range,Kia EV6,77.4
C0529,Low-Mid,Opel Corsa-e,50.0
C0530,Low-Mid,Citroën ë-C4,50.0
C0531,Mid-Range,MG ZS EV,69.9
C0532,Low-Mid,Fiat 500e,42.0
C0533,Low-Mid,Peugeot e-208,50.0
C0534,Low-Mid,Peugeot e-208,50.0
C0535,Mid-Range,Nissan Leaf,62.0
C0536,High,Ford Mustang Mach-E,91.0
C0537,Mid-Range,BYD Atto 3,60.5
C0538,Low-Mid,Opel Corsa-e,50.0
C0539,Mid-Range,Skoda Enyaq iV,77.0
C0540,High,BMW i4,83.9
C0541,Mid-Range,Hyundai Kona Electric,64.0
C0542,Low-Mid,Renault Zoe,52.0
C0543,Low-Mid,Peugeot e-208,50.0
C0544,Low-Mid,Citroën ë-C4,50.0
C0545,Mid-Range,Hyundai Ioniq 5,77.4
C0546,Low-Mid,Peugeot e-208,50.0
C0547,Low-Mid,Dacia Spring,26.8
C0548,High,Ford Mustang Mach-E,91.0
C0549,Mid-Range,BYD Atto 3,60.5
C0550,High,Audi e-tron,95.0
C0551,Low-Mid,Renault Zoe,52.0
C0552,High,Tesla Model 3,75.0
C0553,Mid-Range,Hyundai Kona Electric,64.0
C0554,Low-Mid,Renault Zoe,52.0
C0555,High,Ford Mustang Mach-E,91.0
C0556,Low-Mid,Citroën ë-C4,50.0
C0557,Mid-Range,Skoda Enyaq iV,77.0
C0558,Mid-Range,Skoda Enyaq iV,77.0
C0559,Mid-Range,Kia EV6,77.4
C0560,Low-Mid,Opel Corsa-e,50.0
C0561,Low-Mid,Renault Zoe,52.0
C0562,Mid-Range,Kia EV6,77.4
C0563,Mid-Range,MG ZS EV,69.9
C0564,Low-Mid,Renault Zoe,52.0
C0565,Low-Mid,Fiat 500e,42.0
C0566,High,Audi e-tron,95.0
C0567,Low-Mid,Fiat 500e,42.0
C0568,High,Tesla Model 3,75.0
C0569,High,Porsche Taycan,93.4
C0570,Low-Mid,Opel Corsa-e,50.0
C0571,Low-Mid,Dacia Spring,26.8
C0572,Mid-Range,Hyundai Kona Electric,64.0
C0573,Mid-Range,Skoda Enyaq iV,77.0
C0574,High,BMW i4,83.9
C0575,Low-Mid,Fiat 500e,42.0
C0576,Mid-Range,Hyundai Ioniq 5,77.4
C0577,High,Tesla Model Y,75.0
C0578,Mid-Range,Kia EV6,77.4
C0579,Mid-Range,Skoda Enyaq iV,77.0
C0580,Low-Mid,Renault Zoe,52.0
C0581,Low-Mid,Dacia Spring,26.8
C0582,Low-Mid,Renault Zoe,52.0
C0583,Mid-Range,Volkswagen ID.4,77.0
C0584,High,Tesla Model Y,75.0
C0585,Low-Mid,Opel Corsa-e,50.0
C0586,Low-Mid,Fiat 500e,42.0
C0587,Low-Mid,Fiat 500e,42.0
C0588,Mid-Range,Kia EV6,77.4
C0589,Mid-Range,Nissan Leaf,62.0
C0590,High,Audi e-tron,95.0
C0591,Mid-Range,Nissan Leaf,62.0
C0592,Low-Mid,Fiat 500e,42.0
C0593,Low-Mid,Citroën ë-C4,50.0
